user_id,tweet_id,tweet_text,class
user0001,0d3ed29586ce,"['cheesecakir', 'saludable', 'azúcar', 'lactós', 'mermerlado', 'caserar', 'moras']",control
user0002,c3cf897a495b,"['ser', 'hastaloshueso']",anorexia
user0003,5041d85c45c6,"['comida', 'real', 'clave', 'sano', 'delgado', 'feliz']",control
user0004,d18285d3c7ec,"['cambio', 'hora', 'bajado', 'temperatura', 'destemplado', 'recomendamos', 'buen', 'plato', 'fabado', 'caserar', 'entonar', 'cuerpo', 'decasar', 'platoscuchar', 'madridrio', 'gastro', 'arganzuelar']",control
user0005,4d81892f3217,"['hacer', 'tiempo', 'sentir', 'cuerpo', 'tanto', 'frío']",anorexia
user0006,8beeb35e11de,"['ser', 'gordo', 'mal']",anorexia
user0007,a34963448596,"['si', 'restaurantar', 'pretensión', 'ingrediente', 'principal', 'plato', 'pediste', 'mejor', 'comete', 'pan', 'cocinardeverdadesotracós']",control
user0008,1ed5154df490,"['puaa', 'increible', 'no él', 'permitir', 'pagina', 'mierdo', 'llenar', 'cabeza', 'bobada', 'diariodir']",control
user0009,99c105ae2f12,"['perder', 'batalla', 'significar', 'guerra', 'perdido', 'cada', 'día', 'batalla', 'meta', 'victoria']",anorexia
user0010,18c237db6f53,"['ley', 'responder', 'elección', 'hacer', 'cambio', 'come', 'local', 'sustentable', 'respetar', 'vida', 'ser', 'comida', 'somosloquecom', 'somosloqueelegimos']",control
user0011,02c4086ec8e3,"['querer', 'pasar', 'todo', 'vacación', 'asi', 'thin', 'thinspiration', 'thinsgap', 'thinspo', 'legs', 'perfect', 'outfit']",anorexia
user0012,194c855a0ff5,"['hoy', 'asaltablog', 'robado', 'mel', 'fantástico', 'aloo', 'paratha', 'integral', 'típico', 'd', 'cocina', 'indio', 'convertido', 'complemento', 'perfecto', 'cena', 'sano', 'sabroso', 'deliciós', 'recipes']",control
user0013,5301def06867,"['saltear yo', 'almuerzo']",anorexia
user0014,da4a678f2693,"['cansado', 'pérdida', 'anorexio', 'bulimio']",anorexia
user0015,af6077c20b97,"['hueso', 'notar', 'copa', 'medalla', 'habertar', 'ganar', 'batalla']",anorexia
user0016,95f0866200e2,"['norex', 'anfepromonar', 'potente', 'medicamento', 'dejar', 'comer', 'exceso', 'adelgazar', 'hambre', 'tusclásicos', 'sabadodeganarseguidor', 'espuenteytodo', 'bellezasuperior', 'twitterbestfandom', 'soompiawards', 'convoyvl19', '20anosvl19', 'tampico', 'dietar', 'obesidad', 'madero', 'tamaulipas', 'fit']",control
